id,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth
2227,2,3,1,5,6
10992,5,4,6,11,8
5304,2,1,0,3,6
309,3,8,3,5,6
3406,4,3,2,7,3
2661,4,2,0,4,5
3153,1,1,0,2,8
10264,2,1,1,2,7
1184,3,10,2,10,5
4200,4,4,1,6,5
9396,1,1,0,2,9
2387,6,5,2,4,8
6690,4,3,1,3,7
1225,1,3,7,8,1
9703,4,3,2,2,7
291,1,3,3,6,1
4557,2,2,2,2,6
2379,2,3,4,5,7
5726,3,3,0,4,5
3066,2,4,2,4,5
6336,4,2,0,4,6
10967,3,2,0,4,7
2304,2,6,3,12,4
3445,2,7,4,10,5
7828,1,3,3,5,1
3762,1,3,5,8,1
4391,1,9,3,9,6
4669,3,3,0,4,7
10144,2,8,2,4,8
8652,2,4,1,6,7
1672,1,5,1,8,2
8962,2,2,0,3,5
9974,1,3,1,2,7
10983,1,6,3,13,3
8148,13,6,2,12,5
10102,1,5,11,5,3
4697,3,7,1,5,8
9262,1,1,0,3,7
7254,3,3,1,3,7
4543,1,2,7,9,4
4927,3,3,0,3,9
10451,1,0,0,3,6
2926,3,3,6,11,8
2874,1,1,0,3,7
9738,1,3,0,3,8
7119,1,2,3,6,1
3924,5,8,3,12,5
5827,4,3,1,3,5
5596,1,9,2,9,6
10812,1,2,1,3,4
1717,3,5,1,4,8
9491,3,3,1,3,7
9274,1,6,7,9,2
6609,1,3,0,3,9
6963,1,2,5,10,1
4440,1,8,3,6,7
1379,1,4,2,4,4
10032,4,3,1,3,6
2826,2,2,0,3,7
2437,1,6,5,12,3
6320,1,6,6,10,3
3050,6,3,1,6,4
231,2,2,0,3,5
2392,2,3,0,3,7
9478,2,4,3,6,3
113,2,1,0,3,5
2863,6,2,3,10,7
1802,3,3,3,12,2
520,1,1,0,2,7
8275,1,1,0,2,7
9750,5,10,3,5,7
2607,6,8,2,8,8
7214,1,4,8,5,3
5835,3,2,0,4,8
3896,1,1,0,3,7
10350,1,1,0,3,4
7786,4,3,1,4,8
2861,1,1,0,2,8
663,1,1,1,3,4
10675,2,9,3,5,5
2521,1,1,1,2,7
9592,2,2,0,3,8
10151,1,4,5,12,3
7381,1,11,4,6,4
4099,1,1,0,3,8
9560,1,7,6,8,3
1150,1,4,6,4,1
10172,1,4,5,11,3
11191,1,2,1,4,6
9707,3,4,2,11,8
6245,2,3,5,8,3
8234,1,1,0,2,8
1411,1,2,9,4,1
8553,2,1,0,3,6
1826,1,4,4,6,1
8842,3,2,0,3,7
11030,1,1,0,2,6
2579,4,6,7,9,4
175,2,8,4,8,4
9185,3,4,6,5,3
11056,1,3,4,10,1
9365,5,11,3,5,6
6201,2,2,0,3,7
2061,1,2,0,4,6
6184,1,3,3,8,1
6142,1,5,3,5,2
4107,2,4,6,4,5
7274,1,4,7,10,2
9336,3,6,2,10,4
2958,3,2,1,4,4
933,1,1,0,2,9
5837,7,6,3,6,7
10704,2,6,2,9,4
5125,1,4,10,11,2
4432,2,2,0,3,7
5955,1,4,3,8,3
2928,2,2,4,8,8
5680,1,1,0,3,6
10313,6,5,1,4,8
2557,1,1,1,2,4
1245,4,4,3,12,8
1519,3,3,0,3,8
10703,4,3,2,2,8
1726,1,1,1,2,9
4459,1,1,0,3,8
1729,2,3,5,10,6
1517,1,1,0,3,7
2098,1,1,0,2,8
9543,1,0,0,3,7
6878,3,4,1,6,7
3310,7,4,1,4,8
2724,1,0,1,2,3
948,3,1,2,2,5
6720,3,7,3,4,7
6202,4,4,5,13,2
2066,1,2,1,3,6
9799,3,2,2,12,5
8318,0,5,6,8,1
5642,2,3,1,6,4
2669,1,5,4,6,2
455,1,4,1,4,6
7683,3,5,3,12,3
3428,1,4,9,10,2
7414,4,3,1,4,8
6354,2,1,1,2,8
798,1,1,0,3,7
8213,4,2,2,3,7
2488,4,2,1,3,6
9999,1,9,4,9,5
7617,5,2,1,5,5
615,1,5,1,4,7
2552,9,6,3,6,7
194,1,1,0,3,6
3645,3,2,0,4,8
8890,3,5,1,5,6
5049,1,3,0,2,9
9973,3,7,1,8,7
7301,2,3,0,3,8
10882,4,4,3,6,4
7030,3,11,9,12,6
7422,3,5,1,7,7
3523,2,5,4,8,3
7106,1,3,5,10,1
6504,3,2,1,3,5
5067,1,2,7,11,5
4216,1,7,9,9,3
8581,9,10,2,8,8
5929,2,2,0,3,7
3129,1,2,0,3,6
6528,1,1,0,2,8
1361,1,3,4,8,1
6932,0,7,10,5,2
7284,1,1,0,2,8
1340,1,6,7,13,1
8746,2,2,5,10,6
5987,2,1,0,4,5
3767,2,5,5,12,3
3725,1,2,4,9,4
4324,5,8,1,7,8
238,15,9,6,9,7
6694,1,8,3,13,4
498,2,1,0,4,5
9347,1,1,0,3,5
9699,3,6,2,12,5
10664,2,9,1,5,8
5455,3,2,1,4,7
456,2,2,0,3,8
5012,1,1,0,3,8
7495,2,2,1,5,4
5029,1,0,0,3,5
10642,1,1,0,3,8
2106,1,1,0,3,8
10364,1,1,0,2,8
5954,2,5,0,4,8
1137,1,4,5,7,1
2541,2,2,0,3,8
1142,2,3,2,9,3
2276,5,4,7,11,3
2807,3,8,9,7,7
6471,1,2,0,4,5
6131,2,4,2,8,3
6233,3,9,5,10,7
4148,7,5,1,6,8
4947,1,7,7,9,4
3225,4,4,1,5,6
7540,2,2,1,8,2
10648,1,5,7,6,3
1992,4,2,2,8,7
7851,1,3,7,11,1
8594,2,3,1,3,6
7059,1,3,7,8,1
2815,2,4,0,3,7
2416,1,2,8,9,1
7999,1,5,6,5,2
9213,1,1,0,2,8
9697,3,7,2,8,6
3916,3,7,3,12,7
2021,4,6,10,13,4
1581,1,1,0,2,8
564,7,8,6,9,6
6619,2,1,0,3,7
9081,1,1,1,2,5
178,4,8,3,11,5
916,2,1,0,3,3
5512,1,7,1,8,5
8970,4,6,2,7,5
10581,7,7,3,4,8
5300,1,2,1,2,7
5154,1,2,0,3,6
8346,2,6,2,2,9
1676,4,4,2,5,5
9286,1,5,9,4,3
2426,1,5,10,13,3
5172,2,3,5,7,7
5562,2,7,2,10,6
3436,1,1,0,3,7
3921,1,4,1,4,8
3403,2,2,5,12,6
22,2,6,1,5,8
10965,1,3,5,13,6
9426,4,2,6,3,8
6605,1,9,4,6,7
3136,3,5,3,11,5
8737,1,2,0,3,3
11088,1,4,9,4,6
716,3,6,7,11,3
466,1,4,3,13,2
9135,2,1,1,2,8
10623,1,1,0,3,5
8151,1,4,1,3,8
5140,2,4,3,12,8
10160,1,1,0,3,5
4945,2,10,4,12,6
10584,1,5,10,8,3
6071,1,3,7,11,1
3386,1,2,1,4,7
8939,6,5,2,12,5
9925,3,4,2,3,7
4320,1,6,4,12,3
5389,3,6,2,5,7
6036,1,5,6,7,1
182,4,6,2,5,8
203,1,5,7,9,2
11025,4,3,1,3,8
10203,1,1,0,3,7
4607,1,4,5,7,2
3711,1,6,3,10,3
3696,2,2,0,3,7
2532,1,2,4,6,5
9214,1,5,1,6,5
4943,1,2,4,9,6
35,3,2,2,3,6
2258,1,1,0,3,8
4322,1,4,5,10,2
713,1,4,4,6,3
4702,1,4,8,4,8
3281,6,4,1,8,6
702,4,4,3,8,5
2004,1,4,7,5,1
4769,7,8,2,6,7
4437,2,3,2,5,4
8724,2,2,0,3,6
10741,4,6,1,5,7
1991,1,2,1,3,5
6931,1,8,3,4,4
11096,2,2,1,7,2
304,3,3,0,3,7
3665,3,3,0,3,8
10591,2,4,1,4,7
5036,2,4,5,3,6
5547,1,7,6,6,3
7822,2,4,6,8,3
8541,2,2,0,4,5
10955,1,3,6,4,1
4368,1,3,0,4,6
9671,4,3,1,2,8
2256,2,1,0,3,6
4279,2,1,1,3,3
5371,2,3,1,2,7
9240,2,6,2,8,6
9460,1,3,2,2,8
9504,1,3,8,13,1
8692,6,4,1,5,8
448,2,6,2,11,5
8314,1,5,6,7,2
8420,2,2,0,4,5
3174,1,5,10,4,6
7685,1,2,0,4,5
3179,0,6,6,7,2
9780,2,8,3,13,4
10681,5,6,3,12,4
10232,3,3,2,7,3
4184,2,3,2,5,4
9120,4,4,2,9,8
891,1,1,0,2,5
10381,1,1,0,2,6
3525,1,1,0,2,7
6818,5,5,1,5,6
3526,2,1,0,3,7
8181,3,4,1,3,8
1029,1,5,1,5,5
7369,2,2,0,3,8
2574,3,6,4,8,5
8159,3,4,1,3,7
1160,4,3,0,3,8
10242,2,2,0,4,5
5253,6,4,2,4,7
5966,5,3,1,6,6
5314,7,7,1,5,8
5081,1,1,0,3,8
5123,1,2,1,3,7
5756,2,2,0,3,6
8036,4,2,1,4,4
9058,1,5,11,5,3
5057,2,4,4,10,2
254,3,7,1,7,7
4179,1,1,1,3,4
3710,2,2,1,2,7
7627,0,5,11,5,2
4501,1,3,7,9,1
6424,1,1,0,3,4
3075,1,3,4,7,1
4992,3,3,1,2,7
5252,1,2,0,3,7
7444,2,1,0,3,8
6919,3,2,1,3,6
3537,3,3,0,4,8
10277,1,1,0,3,7
2453,3,5,3,12,5
7972,1,3,4,9,1
895,3,5,2,10,5
1177,4,3,1,3,7
7141,4,5,1,2,10
7232,2,1,1,3,5
8477,1,1,0,3,7
2457,2,1,0,3,7
988,1,6,4,7,3
7930,2,3,1,6,6
4587,1,3,1,7,3
6682,1,1,0,3,8
6222,2,2,0,3,7
10299,3,6,3,13,5
3083,5,6,2,5,7
8953,2,1,0,3,8
1503,0,0,0,1,1
8650,1,1,0,3,4
10862,5,1,2,9,2
2782,3,6,1,7,6
6941,1,2,1,2,7
10972,1,4,3,6,1
10708,1,1,0,3,7
6583,1,6,8,6,3
3641,2,2,0,3,6
10156,1,8,4,7,3
4299,7,11,11,5,7
3469,3,3,0,3,9
5063,3,4,1,4,9
10727,2,7,3,13,8
9624,1,3,4,6,1
5156,5,6,3,12,4
4376,1,2,1,3,7
8923,1,6,7,7,3
8461,1,1,0,2,7
6945,1,9,11,11,5
944,1,4,2,7,4
1907,5,8,4,9,7
701,2,6,2,8,2
3856,4,4,5,13,2
4149,1,5,9,6,2
2131,4,9,4,6,6
2942,2,5,4,4,5
1173,1,4,2,6,2
4381,7,3,1,6,6
4611,0,9,8,13,3
3376,1,3,1,6,4
4679,3,7,6,12,4
10928,2,7,1,7,5
4248,0,4,6,9,1
6728,2,1,0,3,9
6661,5,9,6,12,6
4725,1,1,1,4,2
3277,2,7,1,5,8
5555,0,0,0,0,0
2564,2,3,1,4,6
946,2,3,1,5,6
3867,1,9,3,13,4
6940,4,3,2,3,6
55,4,7,2,9,6
7093,1,0,0,3,7
5084,1,6,4,13,4
1777,1,2,0,3,8
8162,1,1,0,3,6
10826,1,1,1,2,8
8754,1,1,0,2,7
1987,2,2,0,3,6
11007,1,1,0,3,8
7426,3,3,1,5,3
9153,3,7,8,10,5
10379,5,5,2,9,6
9204,4,4,3,6,3
3197,2,6,4,8,4
2920,2,2,4,8,8
6961,1,1,0,2,8
4673,3,10,3,5,5
9937,1,2,2,12,1
8779,4,4,1,3,9
9596,1,3,3,13,2
2891,2,8,9,4,6
4910,1,11,5,13,7
75,1,8,1,5,8
10120,2,3,1,6,5
6327,1,2,8,6,1
10142,2,5,2,11,4
9826,1,5,6,10,2
1501,15,0,28,1,0
10767,1,3,5,12,1
7279,1,4,6,4,2
7230,6,4,5,7,6
143,1,5,3,4,2
450,3,1,4,4,3
9316,1,1,0,3,6
6379,3,2,2,2,7
9239,1,2,1,4,3
8315,1,1,0,2,6
2868,3,2,0,3,8
10888,2,8,4,6,6
1277,1,10,7,10,4
9977,3,9,3,5,4
10196,2,8,2,8,4
6384,3,5,2,11,8
8029,1,3,4,7,1
968,3,4,1,4,7
6988,2,8,4,8,4
4472,1,1,1,3,2
6991,2,9,3,6,8
3336,3,2,4,5,7
4301,1,1,1,2,7
1940,1,1,0,2,8
1272,4,7,5,10,5
1388,2,2,1,3,6
1044,3,5,4,8,4
6969,3,4,1,5,7
10479,1,3,2,5,1
3619,1,5,3,8,2
1715,2,2,0,3,7
10159,6,11,5,9,6
1463,1,1,0,2,7
5114,2,5,4,5,4
4990,1,11,1,8,7
4329,2,1,0,3,7
10936,1,5,6,4,3
4692,5,4,1,2,9
7212,1,2,0,3,6
6086,1,6,5,12,2
437,1,3,8,11,1
11171,7,6,3,5,7
11101,1,11,6,8,4
5329,1,0,0,3,5
610,8,7,2,6,8
9384,7,4,2,10,3
5956,5,6,1,4,8
10430,3,4,3,4,5
7875,1,4,8,13,2
7072,2,8,5,4,4
6255,1,4,1,7,2
6516,1,1,0,2,7
5564,2,7,5,6,4
5682,4,6,9,11,5
7458,2,3,0,3,8
5237,3,2,1,3,5
7761,2,3,0,4,6
5278,1,6,9,5,3
3560,1,4,4,11,1
7235,3,2,0,4,5
10548,1,3,8,12,1
2281,1,1,0,2,7
4073,1,10,10,7,6
6974,1,6,10,5,2
7938,2,3,2,10,3
7094,1,6,4,13,4
3667,1,8,5,11,8
7723,1,8,6,6,3
3870,1,7,3,13,4
4012,5,7,6,5,6
5909,5,3,4,8,8
10470,2,2,1,3,4
6488,1,3,2,2,5
10270,2,3,0,3,7
6887,2,8,1,8,6
6406,1,6,4,10,3
7573,1,2,1,2,7
4508,1,2,11,5,1
221,3,3,2,4,6
5331,1,3,6,7,2
1911,1,11,5,12,6
20,1,2,1,4,4
8786,4,6,1,7,6
10582,2,5,2,12,2
1915,1,8,5,6,3
8897,8,7,3,7,8
2371,3,2,0,4,7
4303,0,0,0,1,20
6825,1,1,0,2,7
1072,2,2,1,3,6
4964,1,2,11,4,1
2461,2,1,0,3,3
10736,2,6,9,5,2
3194,1,4,4,10,1
10839,2,1,0,3,4
49,1,1,1,2,7
4290,1,1,0,2,7
10219,1,1,0,3,8
4211,2,2,0,3,7
1135,5,3,0,4,7
6299,6,6,8,4,7
10846,6,7,1,8,7
347,4,7,1,5,9
6543,1,3,6,4,2
10446,1,5,4,7,2
3479,1,2,0,3,7
11075,4,3,3,5,4
4442,2,1,1,5,3
199,1,4,1,7,7
6722,3,10,3,7,6
796,3,11,4,8,8
3749,1,6,5,12,3
8523,3,4,0,3,8
310,4,4,4,9,4
8629,1,1,0,3,5
236,3,2,1,4,6
9930,1,6,8,13,2
3483,3,2,8,12,8
4599,6,7,1,7,7
7326,1,1,1,3,2
7352,4,3,4,6,3
2350,7,3,2,8,8
9145,2,5,9,6,2
2964,1,1,1,2,6
5585,2,2,0,3,8
9687,1,5,4,6,2
3732,6,5,7,9,4
6303,0,5,5,12,1
11176,2,5,4,7,3
2986,1,1,0,2,6
7462,3,10,2,4,9
3900,1,9,2,9,5
7034,2,2,0,3,8
9493,1,5,4,8,3
1143,2,2,0,3,7
1,1,7,3,7,5
3855,1,3,2,2,8
5536,1,5,10,4,6
5989,1,10,2,11,8
9499,3,3,4,7,5
6768,2,1,0,3,8
2150,1,8,9,4,4
6646,1,1,0,3,6
4887,1,2,0,3,5
8560,1,6,4,7,6
3321,3,7,3,7,5
11003,2,2,0,3,7
10402,2,1,0,3,8
9904,5,6,5,12,3
6141,2,6,1,5,7
5687,1,7,7,12,3
10856,1,1,0,3,6
5121,2,7,6,5,5
4186,3,2,1,3,5
368,3,3,2,6,5
3312,4,3,0,4,6
11121,4,4,0,3,9
5332,1,3,6,7,1
5848,1,5,6,7,2
10343,2,3,6,8,3
5935,3,7,5,8,5
2895,2,3,1,5,5
10262,4,3,1,3,5
7848,2,5,3,3,6
9477,3,6,2,9,4
4856,1,7,7,10,3
7186,2,1,1,2,5
5794,3,7,1,7,8
1456,7,10,2,12,7
4877,1,1,0,3,7
425,3,6,2,11,5
3007,2,1,0,3,8
1031,1,6,9,10,2
4297,2,2,0,3,8
807,6,6,1,4,8
9553,1,0,0,3,6
4271,6,4,1,6,7
4120,2,6,1,4,7
2036,3,4,2,8,4
115,3,5,1,8,5
4259,1,1,0,2,7
8687,3,2,3,8,3
2447,2,2,0,3,7
10140,1,5,7,4,3
9353,2,5,5,4,3
3623,3,4,0,3,7
738,4,3,1,4,7
7631,1,5,7,10,3
4789,1,4,8,5,2
773,7,6,6,4,6
10602,2,3,0,4,8
1446,1,6,9,12,1
3270,4,3,1,3,9
8443,3,3,1,2,8
9653,2,2,0,3,8
8916,1,0,0,3,5
8017,2,2,0,3,6
5830,1,5,6,10,2
4597,1,3,2,13,1
7023,4,6,1,4,9
8086,2,2,0,3,7
8825,8,9,2,5,8
2930,2,2,6,10,5
1928,2,2,0,3,9
7108,6,5,2,5,5
10925,1,3,10,11,1
9960,1,1,0,2,7
8800,2,7,10,5,6
9224,2,8,10,5,6
5519,1,6,9,4,5
5046,2,10,6,7,4
7037,3,4,2,8,6
905,4,4,0,3,8
8624,1,4,3,10,2
8945,2,4,1,4,6
6445,1,4,5,6,2
2727,1,3,3,6,3
6404,5,4,1,6,5
11074,1,3,4,10,0
10150,0,7,4,7,2
1968,1,1,0,2,7
6534,1,2,0,3,5
9485,1,2,1,6,4
7053,1,3,10,8,1
4654,1,3,10,5,2
9760,6,10,5,10,8
1048,2,3,1,4,7
10619,1,7,3,7,3
9308,1,3,4,6,1
10505,1,3,4,7,2
8362,1,7,6,6,3
2625,2,3,2,7,3
4637,1,6,9,9,3
9972,1,1,0,3,7
4483,1,2,10,6,1
4487,1,2,0,4,6
4988,3,1,1,4,4
8931,1,11,4,10,5
5871,3,6,1,6,8
2008,1,4,5,9,2
3139,1,4,4,10,2
10037,1,5,4,6,2
10673,1,6,9,5,3
5303,1,6,4,9,2
538,1,1,1,4,3
7922,2,11,2,10,7
5692,1,1,0,3,8
4843,1,2,11,5,1
6383,2,3,0,3,8
1628,1,9,3,4,4
1204,3,11,5,11,8
3673,3,7,5,11,5
760,2,8,4,9,6
8957,8,6,3,5,6
4128,2,7,4,7,5
6810,1,3,2,6,1
5386,0,5,8,5,2
8700,3,2,1,3,7
3202,1,4,4,10,8
1328,3,4,4,9,3
8405,2,4,2,5,3
6515,1,2,0,3,4
2882,2,3,2,9,8
7574,1,2,0,3,4
6387,3,2,1,3,5
5320,4,3,1,4,6
5048,1,3,1,2,8
8146,1,1,1,2,6
10031,5,3,0,4,8
5748,3,5,2,6,5
2134,4,5,5,8,5
1523,2,2,0,4,5
9665,4,5,2,5,6
4640,2,4,7,13,2
3635,3,6,3,8,5
3547,2,2,0,3,6
2456,5,2,1,5,6
5633,7,3,1,6,5
7801,3,5,2,11,4
10489,1,6,7,9,2
7011,3,3,0,4,7
2620,1,1,0,2,8
3933,6,10,2,6,9
10981,1,3,4,10,1
1734,4,3,0,4,7
10995,3,3,0,4,8
6357,3,7,1,7,5
9209,1,4,6,13,2
10286,1,2,8,13,0
2611,1,2,4,12,1
1600,7,6,3,5,7
3308,3,2,0,4,4
5407,5,10,6,7,7
2166,1,0,1,2,4
3955,0,0,0,0,14
6634,1,2,0,3,7
3056,3,11,6,9,6
5718,1,5,11,6,3
6872,2,4,2,8,4
8164,1,5,6,7,2
4580,1,9,7,9,5
9305,1,4,9,13,2
453,2,2,0,3,5
8545,1,2,4,10,1
9850,1,0,0,3,7
7378,5,10,1,6,9
7646,4,5,3,12,4
1640,2,1,1,4,3
5184,1,1,0,2,6
8492,1,8,4,10,6
11188,3,2,1,3,5
1212,3,8,8,6,6
9097,4,3,1,8,4
10473,1,6,4,9,7
7962,1,4,3,4,1
9984,5,8,5,4,8
5527,2,2,0,3,8
6374,5,5,2,4,8
7453,6,3,8,4,4
8952,2,6,5,10,3
241,1,4,4,11,1
8975,4,3,1,2,8
6119,1,1,0,2,6
5236,1,10,2,8,5
5723,1,1,1,5,2
1710,7,6,1,4,9
1970,1,3,0,3,8
5313,3,2,0,4,5
10634,1,4,2,8,3
7010,1,6,6,7,3
8562,1,2,1,7,2
3158,1,1,0,3,8
4436,1,2,1,4,7
5287,3,3,1,3,7
2445,1,2,0,3,8
6059,7,11,3,4,7
4550,1,1,1,3,5
4240,2,2,1,2,8
8911,3,5,4,9,4
3706,1,2,2,2,7
3628,2,2,1,2,9
10175,1,1,0,3,4
8985,5,10,7,10,6
5204,1,8,8,5,3
9220,1,8,6,5,3
9888,1,4,4,7,2
5263,1,1,0,3,8
1020,1,5,6,7,2
9503,2,5,1,5,8
10613,4,3,0,4,4
67,3,2,0,4,7
6019,1,1,2,2,6
5863,4,6,3,8,5
3717,2,5,5,6,3
6730,3,2,0,3,8
10749,15,0,1,0,19
4998,1,4,5,4,2
6287,1,1,1,2,6
5985,3,2,1,4,7
4754,1,2,0,4,4
4002,1,7,7,12,3
8870,6,6,1,5,8
966,6,6,2,11,5
4767,1,6,6,7,3
9725,1,1,0,2,8
4475,1,7,8,9,5
5740,2,1,2,2,6
5731,1,1,0,3,7
7290,1,3,5,12,2
3846,4,6,1,4,8
8104,1,5,1,5,7
4507,1,6,7,8,3
11013,1,2,8,6,1
4491,11,3,4,10,8
3759,2,7,6,11,5
1162,2,5,2,11,5
2055,2,1,1,2,5
10766,1,4,4,8,2
4415,3,1,1,3,7
3005,1,4,10,8,1
2223,8,8,9,8,6
4817,1,1,0,2,8
2875,1,3,7,13,2
10536,2,3,0,3,8
11112,6,5,6,8,3
3807,3,9,2,9,6
9197,2,2,0,3,5
10832,1,6,1,6,6
6421,1,4,7,9,1
